,title,tag
0,【錯誤】網傳影片宣稱「特朗普黑幫全都接種了新冠疫苗！2020年4月20日，特朗普的新冠新聞發布會露出驚天秘密...難怪...特朗普新冠檢測始終陰性」？,fake
1,【錯誤】網傳「3萬紓困補助...是從勞工自己的勞退金裡挪用的」？,fake
2,【錯誤】網傳「沒撇步⋯只能將佛祖請列出來鎮病毒了...整個JR日本地鐵站里都佈滿阿彌陀佛」？,fake
3,【錯誤】網傳影片宣稱「新妙招，印度捉到沒有戴口罩的市民 ，關到一架救護車裡鎖住 ，裡面有一個假扮確診的患者...」？,fake
4,"【錯誤】網傳簡訊通知「您所郵寄的包裹涉嫌違規操作已退回,請核對退貨地址」？",fake
5,【錯誤】網傳「4月25日新聞快報。由於疫情的關係，政府決定幫助國民，無條件每個家庭將會提供援助。援助金可高達50000台幣，連續三個月，申請詳情如下」？,fake
6,【錯誤】網傳圖片宣稱「一位護士在摘掉口罩和眼鏡罩後，在紫外線下顯出臉上仍有殘留的病毒...」？,fake
7,【錯誤】網傳「中華民國衛福部長: 陳時中提醒大家~再﻿次﻿﻿強調﻿：別﻿出門，端午節(6月25日)過後，再看疫情﻿控制情況...」﻿？,fake
8,【錯誤】網傳影片宣稱「記者探望病愈在家的英國首相強生...他的家真像是遺棄的三綫軍工場舊址...也許是客廳太小只好自己端着茶盤...」？,fake
9,【錯誤】網傳影片搭配文字宣稱「台灣幾乎絕跡 ~獨領台灣山林的雲豹再現蹤影！美麗的花紋，真令人讚嘆」？,fake
10,【錯誤】網傳「只要戶籍在新北市，年滿65歲可到區公所帶身份證存摺辦理健保補助金，三千二百二十四元，半年領一次...」？,fake
11,【錯誤】網傳一段影片搭配文字宣稱「外國人，無意間拍攝到的，恐怖哦！」？,fake
12,【錯誤】網傳影片宣稱「人和猴子交配生子」？,fake
13,【錯誤】網傳影片宣稱「義大利人民 全國跪地向天懺悔」？,fake
14,【錯誤】網傳「美國政府宣導預防中共武漢病毒🦠全民留家不要趴趴走，NitesTV網站所有電影上網免費觀賞...」？,fake
15,【錯誤】網傳「美國核動力潛艇田納西號，12月底開始，潛在海裏119天，150員船員，竟然有8名驗出新冠病毒」？,fake
16,【錯誤】網傳梳子造型刀照片宣稱「轉傳國教署通知：提請留意，若看到學生拿著梳子，請留心檢查」？,fake
17,【錯誤】網傳影片宣稱「義大利這對小兄弟的媽媽給肺炎病毒帶走了...弟弟就往天空不斷的叫喚媽媽...」？,fake
18,【錯誤】網站文章「殯葬業者累倒午睡 被同事誤當屍體 火化死亡」？,fake
19,【錯誤】網傳「之前有老虎確診...請小心遠離家中寵物貓狗及豢養的家禽...」？,fake
20,【錯誤】網傳影片宣稱「今天上午，美國白宮正式給川普請來巫師...川普背後好幾個美國議員緊抓著川普的肩膀難中求福...只讓病毒趕快消失」？,fake
21,【錯誤】網傳「截至目前的統計數據，不丹還沒有人感染COVID-19。這證明素食主義對整個世界尤其是不丹王國的和平作出了巨大貢獻...」？,fake
22,【錯誤】網傳「請注意看這個很清楚很實用...乾咳+打噴嚏=空氣污染...乾咳+打噴嚏+身體疼痛+虛弱+高燒+呼吸困難=冠狀病毒」？,fake
23,【錯誤】網傳群眾與挖土機發生衝突影片，宣稱「看看印度太殘忍了，得新冠病毒感染者治不了。就活埋！」？,fake
24,【錯誤】網傳「來自以色列的信息表明：這種病毒他們並沒有造成任何死亡...在以色列，每個人都喝一杯加檸檬的熱水，這被證明可以殺死病毒」？,fake
25,【錯誤】網傳文章宣稱「南非牧師稱喝消毒水可防新冠，自己也喝，59名信徒口服滴露身亡」？,fake
26,【錯誤】傳言引述美國媒體報導指出：「美國 FBI已經警告我們華人區，將會有暴動，因為美國有六十萬的無業流氓，最近監獄又釋放很多罪犯出來...他們會出來生事、暴動搶劫，向我們華人下手」？,fake
27,【錯誤】網傳影片宣稱「東非肯亞政府要求百姓勿上街群聚，出動警察無效，因為肯亞人不甩警察，改派肯亞的馬賽族⋯⋯連螞蟻也沒了」？,fake
28,【錯誤】網傳影片宣稱「在美的家人傳來的視頻－紐約軍隊進城了。美國政府或許怕1977年紐約大停電... 引發的搶劫、暴動再度發生，今天軍隊已經陸續進駐...」？,fake
29,【錯誤】網傳男子當街被打屁股影片宣稱「台灣要學學外國、罰100萬台灣人也不怕！他們有的是錢！要嚴懲這樣、再亂趴趴走！捉到就是這樣的下塲！」？,fake
